protocol,split,variant,target,n,mape,mae,r2,spearman
held_out_order_block,1,architecture_temp_voltage_diagnostic,dynamic_energy_per_token_mj,199,23.965013027191162,3.81095552444458,0.8657543659210205,0.9257667123496269
held_out_order_block,2,architecture,tpot_ms,198,21.952220797538757,11.642595291137695,0.77094566822052,0.8019609002682447
held_out_order_block,2,architecture,ttft_ms,198,18.876652419567108,173.3037567138672,0.756304919719696,0.8684202288138081
held_out_order_block,2,architecture,dynamic_energy_per_token_mj,198,29.949647188186646,5.749308109283447,0.7615045309066772,0.8356866628172395
held_out_order_block,2,architecture_temp,tpot_ms,198,11.619097739458084,6.005166530609131,0.877221941947937,0.9169049059300972
held_out_order_block,2,architecture_temp,ttft_ms,198,9.921447932720184,90.09660339355469,0.8751659989356995,0.9471492602183044
held_out_order_block,2,architecture_temp,dynamic_energy_per_token_mj,198,24.035513401031494,4.554784774780273,0.8257407546043396,0.8889896336010153
held_out_order_block,2,architecture_voltage_diagnostic,tpot_ms,198,24.80689138174057,13.23165512084961,0.7149714231491089,0.7576777325464685
held_out_order_block,2,architecture_voltage_diagnostic,ttft_ms,198,20.578469336032867,186.85641479492188,0.7070437669754028,0.8419355325122277
held_out_order_block,2,architecture_voltage_diagnostic,dynamic_energy_per_token_mj,198,31.620830297470093,6.1643595695495605,0.7294013500213623,0.8171444826037587
held_out_order_block,2,architecture_order_diagnostic,tpot_ms,198,36.442628502845764,17.979183197021484,0.40385186672210693,0.8238642490494866
held_out_order_block,2,architecture_order_diagnostic,ttft_ms,198,30.474746227264404,256.5002746582031,0.3803179860115051,0.8844766194269017
held_out_order_block,2,architecture_order_diagnostic,dynamic_energy_per_token_mj,198,37.5638484954834,6.8366007804870605,0.687640905380249,0.846814444472787
held_out_order_block,2,architecture_temp_voltage_diagnostic,tpot_ms,198,10.916166752576828,5.639010906219482,0.8902564644813538,0.9272852706614143
held_out_order_block,2,architecture_temp_voltage_diagnostic,ttft_ms,198,8.743248879909515,79.36566162109375,0.9094890356063843,0.9535271380802643
held_out_order_block,2,architecture_temp_voltage_diagnostic,dynamic_energy_per_token_mj,198,22.93599843978882,4.2585625648498535,0.8408278822898865,0.8943154474108737
